纪元名单完整导出（修正后开局名单）
生成时间: 2026-08-26T12:12:22.387Z

============================================================
2003-04 赛季（2003 纪元）
============================================================

[ATL] 共 15 人
  Shareef Abdur-Rahim | PF | 27岁 | OVR 84
  Kevin Burleson | PG | 24岁 | OVR 56

[CHI] 共 15 人
  Jalen Rose | SF/SG/PG | 31岁 | OVR 82
  Jay Williams | PG | 22岁 | OVR 80
  Donyell Marshall | PF | 30岁 | OVR 79
  Marcus Fizer | PF | 25岁 | OVR 73
  Kirk Hinrich | 1 | 23岁 | OVR 72
  Eddie Robinson | SF | 27岁 | OVR 71
  Roger Mason | SF | 23岁 | OVR 71
  Tyson Chandler | C | 21岁 | OVR 68
  Trenton Hassell | SG | 24岁 | OVR 66
  Eddy Curry | C | 21岁 | OVR 65
  Jamal Crawford | PG | 23岁 | OVR 61
  Fred Hoiberg | SG | 31岁 | OVR 61
  Lonny Baxter | C | 25岁 | OVR 61
  Corie Blount | C | 35岁 | OVR 59
  Rick Brunson | PG | 31岁 | OVR 58

[CLE] 共 15 人
  LeBron James | 3 | 19岁 | OVR 81
  LeBron James | SF/PF/PG/SG | 19岁 | OVR 80
  Dajuan Wagner | SG | 20岁 | OVR 76
  Ricky Davis | SG | 24岁 | OVR 76
  Darius Miles | SF | 22岁 | OVR 75
  Lamond Murray | SF | 30岁 | OVR 75
  Jumaine Jones | SF | 24岁 | OVR 71
  Zydrunas Ilgauskas | C | 28岁 | OVR 70
  Chris Mihm | C | 24岁 | OVR 67
  Ira Newble | SF | 28岁 | OVR 67
  Tierre Brown | PG | 24岁 | OVR 66
  Kevin Ollie | PG | 31岁 | OVR 66
  Jason Kapono | SF | 24岁 | OVR 65
  Carlos Boozer | PF | 22岁 | OVR 64
  Smush Parker | PG | 22岁 | OVR 63

[DAL] 共 15 人
  Dirk Nowitzki | PF/C | 25岁 | OVR 91
  Michael Finley | SF | 30岁 | OVR 86
  Steve Nash | PG | 29岁 | OVR 83
  Antawn Jamison | SF | 27岁 | OVR 82
  Raef LaFrentz | C | 27岁 | OVR 78
  Josh Howard | 3 | 23岁 | OVR 73
  Adrian Griffin | SG | 29岁 | OVR 69
  Eduardo Nájera | SF | 27岁 | OVR 68
  Walt Williams | SF | 33岁 | OVR 67
  Tariq Abdul-Wahad | SG | 29岁 | OVR 66
  Avery Johnson | PG | 38岁 | OVR 65
  Raja Bell | SG | 27岁 | OVR 62
  Shawn Bradley | C | 31岁 | OVR 60
  Evan Eschmeyer | C | 28岁 | OVR 60
  Popeye Jones | PF | 33岁 | OVR 56

[DEN] 共 15 人
  Juwan Howard | PF | 30岁 | OVR 77
  Marcus Camby | C | 29岁 | OVR 77
  Carmelo Anthony | 3 | 19岁 | OVR 76
  Nene Hilario | C | 21岁 | OVR 73
  Nikoloz Tskitishvili | SF | 20岁 | OVR 72
  Voshon Lenard | SG | 30岁 | OVR 72
  Vincent Yarbrough | SG | 22岁 | OVR 69
  Jeff Trepagnier | SG | 24岁 | OVR 69
  Shammond Williams | PG | 28岁 | OVR 66
  Donnell Harvey | SF | 23岁 | OVR 66
  Francisco Elson | C | 27岁 | OVR 66
  Ryan Bowen | SG | 28岁 | OVR 65
  Chris Andersen | C | 25岁 | OVR 65
  Rodney White | SG | 23岁 | OVR 64
  Adam Harrington | SG | 23岁 | OVR 60

[DET] 共 15 人
  Ben Wallace | C/PF | 29岁 | OVR 85
  Richard Hamilton | SG | 25岁 | OVR 78
  Chauncey Billups | PG/SG | 27岁 | OVR 77
  Clifford Robinson | PF | 37岁 | OVR 77
  Corliss Williamson | SF | 30岁 | OVR 74
  Jon Barry | SG | 34岁 | OVR 71
  Michael Curry | SF | 35岁 | OVR 70
  Željko Rebrača | C | 31岁 | OVR 70
  Carlos Delfino | 2 | 21岁 | OVR 70
  Chucky Atkins | PG | 29岁 | OVR 69
  Danny Manning | PF | 37岁 | OVR 69
  Mehmet Okur | PF | 24岁 | OVR 68
  Tayshaun Prince | SF | 23岁 | OVR 67
  Darko Miličić | C | 18岁 | OVR 65
  Pepe Sánchez | PG | 26岁 | OVR 63

[GSW] 共 15 人
  Jason Richardson | SG | 23岁 | OVR 79
  Mike Dunleavy | SF | 23岁 | OVR 76
  Danny Fortson | PF | 27岁 | OVR 73
  Nick Van | SG | 32岁 | OVR 73
  Jiří Welsch | SF | 24岁 | OVR 71
  Chris Mills | PF | 34岁 | OVR 70
  Bob Sura | SG | 30岁 | OVR 70
  Earl Boykins | PG | 27岁 | OVR 70
  Mickael Pietrus | 2 | 21岁 | OVR 70
  Troy Murphy | PF | 23岁 | OVR 68
  Erick Dampier | C | 28岁 | OVR 66
  Adonal Foyle | C | 28岁 | OVR 64
  Oscar Torres | SG | 27岁 | OVR 63
  Dean Oliver | PG | 25岁 | OVR 60
  A.J. Guyton | PG | 25岁 | OVR 50

[HOU] 共 15 人
  Steve Francis | PG | 26岁 | OVR 86
  Cuttino Mobley | SG | 28岁 | OVR 84
  Yao Ming | C | 23岁 | OVR 77
  Eddie Griffin | PF | 21岁 | OVR 73
  Boštjan Nachbar | SF | 23岁 | OVR 70
  James Posey | SF | 27岁 | OVR 70
  Maurice Taylor | PF | 27岁 | OVR 69
  Glen Rice | SF | 36岁 | OVR 68
  Kelvin Cato | C | 29岁 | OVR 67
  Moochie Norris | PG | 30岁 | OVR 66
  Terence Morris | SF | 25岁 | OVR 63
  Mark Jackson | PG | 38岁 | OVR 63
  Jason Collier | C | 26岁 | OVR 61
  Torraye Braggs | PF | 27岁 | OVR 61
  Tito Maddox | SG | 22岁 | OVR 60

[IND] 共 14 人
  Jermaine O'Neal | PF | 25岁 | OVR 86
  Reggie Miller | SG | 38岁 | OVR 81
  Metta World | SF | 24岁 | OVR 78
  Jamaal Tinsley | PG | 25岁 | OVR 74
  Al Harrington | SF | 23岁 | OVR 74
  Jonathan Bender | SF | 23岁 | OVR 71
  Austin Croshere | PF | 28岁 | OVR 70
  Ron Mercer | SG | 27岁 | OVR 70
  Fred Jones | SG | 24岁 | OVR 69
  Tim Hardaway | PG | 37岁 | OVR 67
  Erick Strickland | SG | 30岁 | OVR 67
  Scot Pollard | C | 28岁 | OVR 67
  Jeff Foster | C | 27岁 | OVR 64
  Jamison Brewer | PG | 23岁 | OVR 62

[LAC] 共 15 人
  Elton Brand | PF/C | 24岁 | OVR 89
  Andre Miller | PG | 27岁 | OVR 87
  Lamar Odom | PF/SF/PG | 24岁 | OVR 80
  Quentin Richardson | SG | 23岁 | OVR 76
  Corey Maggette | SG | 24岁 | OVR 74
  Chris Kaman | 5 | 21岁 | OVR 74
  Michael Olowokandi | C | 28岁 | OVR 73
  Eric Piatkowski | SG | 33岁 | OVR 71
  Chris Wilcox | PF | 21岁 | OVR 70
  Marko Jaric | SF | 25岁 | OVR 69
  Cherokee Parks | PF | 31岁 | OVR 67
  Tremaine Fowlkes | SF | 27岁 | OVR 65
  Keyon Dooling | SG | 23岁 | OVR 62
  Melvin Ely | C | 25岁 | OVR 62
  Wang Zhizhi | C | 26岁 | OVR 60

[LAL] 共 15 人
  Shaquille O'Neal | C | 31岁 | OVR 98
  Kobe Bryant | SG/SF | 25岁 | OVR 96
  Gary Payton | PG | 35岁 | OVR 87
  Robert Horry | PF | 33岁 | OVR 75
  Rick Fox | SF | 34岁 | OVR 74
  Derek Fisher | PG | 29岁 | OVR 71
  Devean George | SF | 26岁 | OVR 71
  Kareem Rush | PG | 23岁 | OVR 70
  Brian Cook | 4 | 23岁 | OVR 70
  Samaki Walker | C | 27岁 | OVR 69
  Tracy Murray | SF | 32岁 | OVR 68
  Brian Shaw | PG | 37岁 | OVR 64
  Luke Walton | PF | 23岁 | OVR 64
  Mark Madsen | PF | 28岁 | OVR 61
  Soumaila Samake | C | 25岁 | OVR 61

[MEM] 共 15 人
  Pau Gasol | PF/C | 23岁 | OVR 81
  Jason Williams | PG | 28岁 | OVR 78
  Shane Battier | SF | 25岁 | OVR 77
  Michael Dickerson | SG | 28岁 | OVR 76
  Lorenzen Wright | C | 28岁 | OVR 75
  Wesley Person | SG | 32岁 | OVR 74
  Mike Miller | SF | 23岁 | OVR 71
  Brevin Knight | PG | 28岁 | OVR 71
  Stromile Swift | PF | 24岁 | OVR 71
  Ryan Humphrey | PF | 24岁 | OVR 68
  Mike Batiste | PF | 26岁 | OVR 64
  Chris Owens | SF | 24岁 | OVR 63
  Earl Watson | PG | 24岁 | OVR 62
  Cezary Trybański | C | 24岁 | OVR 61
  Robert Archibald | PF | 23岁 | OVR 57

[MIA] 共 15 人
  Eddie Jones | SG | 32岁 | OVR 84
  Dwyane Wade | 2 | 22岁 | OVR 78
  Alonzo Mourning | C | 33岁 | OVR 77
  Caron Butler | SF | 23岁 | OVR 73
  Brian Grant | C | 31岁 | OVR 71
  LaPhonso Ellis | PF | 33岁 | OVR 70
  Eddie House | SG | 25岁 | OVR 69
  Udonis Haslem | PF | 23岁 | OVR 68
  Rasual Butler | SG | 24岁 | OVR 67
  Mike James | PG | 28岁 | OVR 67
  Travis Best | PG | 31岁 | OVR 66
  Anthony Carter | PG | 28岁 | OVR 65
  Malik Allen | PF | 25岁 | OVR 65
  Sean Lampley | SF | 24岁 | OVR 63
  Vladimir Stepania | C | 27岁 | OVR 60

[MIL] 共 13 人
  Tim Thomas | SF | 26岁 | OVR 80
  Anthony Mason | C | 37岁 | OVR 77
  Toni Kukoč | PF | 35岁 | OVR 75
  Desmond Mason | SF | 26岁 | OVR 75
  T.J. Ford | 1 | 20岁 | OVR 73
  Michael Redd | SG | 24岁 | OVR 72
  Marcus Haislip | PF | 23岁 | OVR 66
  Jason Caffey | PF | 30岁 | OVR 66
  Ervin Johnson | C | 36岁 | OVR 62
  Dan Gadzuric | C | 25岁 | OVR 62
  Joel Przybilla | C | 24岁 | OVR 59
  Jamal Sampson | PF | 20岁 | OVR 58
  Ronald Murray | SG | 24岁 | OVR 56

[MIN] 共 15 人
  Kevin Garnett | PF/C | 27岁 | OVR 94
  Latrell Sprewell | SF | 33岁 | OVR 85
  Sam Cassell | PG | 34岁 | OVR 84
  Wally Szczerbiak | SF | 26岁 | OVR 79
  Terrell Brandon | PG | 33岁 | OVR 77
  Joe Smith | SF | 28岁 | OVR 74
  Troy Hudson | PG | 27岁 | OVR 72
  Ndudi Ebi | 4 | 19岁 | OVR 70
  Anthony Peeler | SG | 34岁 | OVR 68
  Rod Strickland | PG | 37岁 | OVR 67
  Reggie Slater | PF | 33岁 | OVR 66
  Rasho Nesterović | C | 27岁 | OVR 65
  Gary Trent | SF | 29岁 | OVR 63
  Marc Jackson | C | 29岁 | OVR 62
  Kendall Gill | SG | 35岁 | OVR 61

[NOP] 共 15 人
  Baron Davis | PG | 24岁 | OVR 93
  Jamal Mashburn | SF | 31岁 | OVR 84
  Courtney Alexander | PG | 26岁 | OVR 74
  P.J. Brown | PF | 34岁 | OVR 73
  David West | 4 | 23岁 | OVR 72
  David Wesley | SG | 33岁 | OVR 71
  Kenny Anderson | PG | 33岁 | OVR 70
  George Lynch | SG | 33岁 | OVR 70
  Jamaal Magloire | C | 25岁 | OVR 69
  Stacey Augmon | SG | 35岁 | OVR 67
  Robert Pack | PG | 34岁 | OVR 64
  Randy Livingston | PG | 28岁 | OVR 63
  Robert Traylor | C | 26岁 | OVR 62
  Bryce Drew | PG | 29岁 | OVR 60
  Kirk Haston | SF | 24岁 | OVR 53

[NYK] 共 15 人
  Allan Houston | SG | 32岁 | OVR 79
  Kurt Thomas | C | 31岁 | OVR 77
  Keith Van | PF | 28岁 | OVR 75
  Clarence Weatherspoon | PF | 33岁 | OVR 71
  Frank Williams | PG | 23岁 | OVR 70
  Michael Sweetney | 3 | 21岁 | OVR 70
  Othella Harrington | PF | 30岁 | OVR 69
  Antonio McDyess | PF | 29岁 | OVR 68
  Charlie Ward | PG | 33岁 | OVR 67
  Mike Sweetney | PF | 21岁 | OVR 67
  Shandon Anderson | SF | 30岁 | OVR 64
  Lee Nailon | SF | 28岁 | OVR 63
  Howard Eisley | PG | 31岁 | OVR 60
  Lavor Postell | SG | 25岁 | OVR 56
  Michael Doleac | C | 26岁 | OVR 54

[OKC] 共 15 人
  Ray Allen | SG/SF | 28岁 | OVR 91
  Rashard Lewis | SF | 24岁 | OVR 84
  Brent Barry | SG | 32岁 | OVR 82
  Elden Campbell | C | 35岁 | OVR 78
  Vladimir Radmanović | PF | 23岁 | OVR 73
  Predrag Drobnjak | C | 28岁 | OVR 70
  Nick Collison | 4 | 23岁 | OVR 70
  Luke Ridnour | 1 | 22岁 | OVR 70
  Richie Frahm | SF | 26岁 | OVR 67
  Jerome James | C | 28岁 | OVR 65
  Luke Ridnour | PG | 22岁 | OVR 65
  Reggie Evans | PF | 23岁 | OVR 63
  Joseph Forte | SG | 22岁 | OVR 60
  Vitaly Potapenko | C | 28岁 | OVR 59
  Antonio Harvey | PF | 33岁 | OVR 59

[ORL] 共 15 人
  Tracy McGrady | SG/SF | 24岁 | OVR 96
  Grant Hill | SF/PG | 31岁 | OVR 83
  Darrell Armstrong | PG | 35岁 | OVR 78
  Drew Gooden | PF | 22岁 | OVR 74
  Horace Grant | PF | 38岁 | OVR 73
  Gordan Giriček | SF | 26岁 | OVR 73
  Pat Garrity | PF | 27岁 | OVR 70
  Reece Gaines | 2 | 23岁 | OVR 70
  Keith Bogans | SG | 25岁 | OVR 65
  Jacque Vaughn | PG | 28岁 | OVR 64
  Shawn Kemp | C | 34岁 | OVR 64
  Jeryl Sasser | SG | 24岁 | OVR 62
  Steven Hunter | C | 22岁 | OVR 61
  Andrew DeClercq | C | 30岁 | OVR 60
  Chris Whitney | PG | 32岁 | OVR 58

[PHI] 共 15 人
  Allen Iverson | SG/PG | 28岁 | OVR 90
  Aaron McKie | SF | 31岁 | OVR 78
  Derrick Coleman | C | 36岁 | OVR 78
  Eric Snow | PG | 30岁 | OVR 74
  Kenny Thomas | PF | 26岁 | OVR 73
  Todd MacCulloch | C | 28岁 | OVR 72
  Kyle Korver | SG | 22岁 | OVR 72
  Monty Williams | SF | 32岁 | OVR 70
  Greg Buckner | SG | 27岁 | OVR 67
  John Salmons | PG | 24岁 | OVR 67
  Tyrone Hill | PF | 35岁 | OVR 67
  Efthimi Rentzias | C | 28岁 | OVR 59
  Brian Skinner | PF | 27岁 | OVR 55
  Art Long | SF | 31岁 | OVR 55
  Kenny Satterfield | PG | 22岁 | OVR 51

[PHX] 共 15 人
  Shawn Marion | SF/PF | 25岁 | OVR 90
  Stephon Marbury | PG | 26岁 | OVR 86
  Anfernee Hardaway | SG | 32岁 | OVR 77
  Joe Johnson | SG/SF/PG | 22岁 | OVR 70
  Leandro Barbosa | 1 | 21岁 | OVR 70
  Amar'e Stoudemire | PF | 21岁 | OVR 69
  Casey Jacobsen | SF | 22岁 | OVR 68
  Tom Gugliotta | PF | 34岁 | OVR 68
  Bo Outlaw | C | 32岁 | OVR 67
  Leandro Barbosa | PG | 21岁 | OVR 67
  Jake Tsakalidis | C | 24岁 | OVR 64
  Scott Williams | C | 35岁 | OVR 62
  Jake Voskuhl | C | 26岁 | OVR 59
  Dan Langhi | SF | 26岁 | OVR 59
  Randy Brown | PG | 35岁 | OVR 58

[POR] 共 15 人
  Rasheed Wallace | PF/C | 29岁 | OVR 87
  Bonzi Wells | SG | 27岁 | OVR 83
  Scottie Pippen | SF | 38岁 | OVR 81
  Damon Stoudamire | PG | 30岁 | OVR 79
  Derek Anderson | PG | 29岁 | OVR 77
  Antonio Daniels | SG | 28岁 | OVR 77
  Ruben Patterson | SF | 28岁 | OVR 75
  Jeff McInnis | PG | 29岁 | OVR 74
  Dale Davis | C | 34岁 | OVR 72
  Ruben Boumtje-Boumtje | C | 25岁 | OVR 72
  Travis Outlaw | 3 | 19岁 | OVR 70
  Qyntel Woods | PF | 22岁 | OVR 67
  Matt Carroll | SG | 25岁 | OVR 66
  Zach Randolph | PF | 22岁 | OVR 64
  Charles Smith | SG | 28岁 | OVR 53

[SAC] 共 14 人
  Chris Webber | PF/C | 30岁 | OVR 91
  Peja Stojaković | SF | 26岁 | OVR 85
  Mike Bibby | PG | 25岁 | OVR 84
  Doug Christie | SG | 33岁 | OVR 78
  Keon Clark | C | 28岁 | OVR 76
  Brad Miller | C | 27岁 | OVR 76
  Bobby Jackson | PG | 30岁 | OVR 75
  Vlade Divac | C | 35岁 | OVR 75
  Jim Jackson | SF | 33岁 | OVR 67
  Darius Songaila | PF | 25岁 | OVR 66
  Mateen Cleaves | PG | 26岁 | OVR 64
  Damon Jones | PG | 27岁 | OVR 64
  Gerald Wallace | SF | 21岁 | OVR 63
  Lawrence Funderburke | PF | 33岁 | OVR 60

[SAS] 共 15 人
  Tim Duncan | PF/C | 27岁 | OVR 96
  Hedo Türkoğlu | SF | 24岁 | OVR 77
  Manu Ginóbili | SG/PG/SF | 26岁 | OVR 76
  Steve Smith | SG | 34岁 | OVR 73
  Bruce Bowen | SF | 32岁 | OVR 73
  Malik Rose | PF | 29岁 | OVR 71
  Tony Parker | PG | 21岁 | OVR 70
  Danny Ferry | SF | 37岁 | OVR 69
  Terry Porter | PG | 40岁 | OVR 68
  Steve Kerr | PG | 38岁 | OVR 66
  Kevin Willis | C | 41岁 | OVR 66
  Stephen Jackson | SG | 25岁 | OVR 65
  Speedy Claxton | PG | 25岁 | OVR 64
  Anthony Goldwire | PG | 32岁 | OVR 52
  Mengke Bateer | C | 28岁 | OVR 50

[TOR] 共 15 人
  Vince Carter | SG/SF | 27岁 | OVR 90
  Antonio Davis | C | 35岁 | OVR 79
  Morris Peterson | SF | 26岁 | OVR 76
  Chris Bosh | 4 | 19岁 | OVR 74
  Alvin Williams | PG | 29岁 | OVR 72
  Jerome Williams | PF | 30岁 | OVR 70
  Lindsey Hunter | PG | 33岁 | OVR 69
  Rafer Alston | PG | 27岁 | OVR 68
  Jelani McCoy | C | 26岁 | OVR 64
  Jermaine Jackson | SG | 27岁 | OVR 58
  Chris Jefferies | SF | 23岁 | OVR 57
  Michael Bradley | PF | 24岁 | OVR 56
  Greg Foster | C | 35岁 | OVR 56
  Damone Brown | PF | 24岁 | OVR 55
  Mamadou N'Diaye | C | 28岁 | OVR 52

[UTA] 共 12 人  ← 人数偏少，可能有缺失
  Matt Harpring | SF | 27岁 | OVR 76
  Andrei Kirilenko | SF/PF | 22岁 | OVR 75
  Scott Padgett | PF | 27岁 | OVR 68
  Calbert Cheaney | SG | 32岁 | OVR 67
  Raul Lopez | PG | 23岁 | OVR 65
  DeShawn Stevenson | SG | 22岁 | OVR 64
  Jarron Collins | C | 25岁 | OVR 62
  Carlos Arroyo | PG | 24岁 | OVR 62
  Greg Ostertag | C | 30岁 | OVR 61
  Sasha Pavlovic | SF | 20岁 | OVR 61
  Tony Massenburg | C | 36岁 | OVR 60
  John Amaechi | C | 33岁 | OVR 53

[WAS] 共 15 人
  Michael Jordan | SF | 40岁 | OVR 88
  Jerry Stackhouse | SG | 29岁 | OVR 80
  Gilbert Arenas | PG/SG | 22岁 | OVR 76
  Larry Hughes | PG | 25岁 | OVR 73
  Juan Dixon | PG | 25岁 | OVR 71
  Bryon Russell | SF | 33岁 | OVR 70
  Christian Laettner | PF | 34岁 | OVR 70
  Charles Oakley | C | 40岁 | OVR 70
  Jarvis Hayes | 3 | 22岁 | OVR 70
  Jared Jeffries | SF | 22岁 | OVR 69
  Brendan Haywood | C | 24岁 | OVR 69
  Tyronn Lue | PG | 26岁 | OVR 66
  Jahidi White | C | 27岁 | OVR 66
  Bobby Simmons | SG | 23岁 | OVR 63
  Kwame Brown | C | 21岁 | OVR 62
============================================================
2010-11 赛季（2010 纪元）
============================================================

[ATL] 共 15 人
  Joe Johnson | SG/SF/PG | 29岁 | OVR 83
  Mike Bibby | PG | 32岁 | OVR 78
  Josh Smith | PF | 25岁 | OVR 77
  Al Horford | C/PF | 24岁 | OVR 76
  Jamal Crawford | SG | 30岁 | OVR 75
  Marvin Williams | SF | 24岁 | OVR 69
  Zaza Pachulia | C | 26岁 | OVR 67
  Maurice Evans | SF | 32岁 | OVR 66
  Jeff Teague | PG | 22岁 | OVR 66
  Joe Smith | PF | 35岁 | OVR 64
  Mario West | SG | 26岁 | OVR 60
  Jordan Crawford | SG | 22岁 | OVR 57
  Othello Hunter | SF | 24岁 | OVR 54
  Jason Collins | C | 32岁 | OVR 52
  Randolph Morris | PF | 25岁 | OVR 50

[BKN] 共 15 人
  Devin Harris | PG | 27岁 | OVR 86
  Brook Lopez | C | 22岁 | OVR 77
  Terrence Williams | SF | 23岁 | OVR 71
  Anthony Morrow | SG | 25岁 | OVR 70
  Derrick Favors | 5 | 19岁 | OVR 70
  Damion James | 3 | 23岁 | OVR 70
  Travis Outlaw | SF | 26岁 | OVR 69
  Jordan Farmar | PG | 24岁 | OVR 67
  Bobby Simmons | PF | 30岁 | OVR 64
  Jarvis Hayes | SF | 29岁 | OVR 63
  Chris Douglas-Roberts | SF | 24岁 | OVR 62
  Trenton Hassell | SF | 31岁 | OVR 62
  Johan Petro | C | 25岁 | OVR 62
  Yi Jianlian | PF | 23岁 | OVR 59
  Kris Humphries | PF | 25岁 | OVR 59

[BOS] 共 15 人
  Kevin Garnett | PF/C | 34岁 | OVR 90
  Rajon Rondo | PG | 24岁 | OVR 87
  Paul Pierce | SF/SG | 33岁 | OVR 84
  Shaquille O'Neal | C | 38岁 | OVR 81
  Ray Allen | SG/SF | 35岁 | OVR 80
  Nate Robinson | PG | 26岁 | OVR 78
  Rasheed Wallace | PF/C | 36岁 | OVR 75
  Jermaine O'Neal | C | 32岁 | OVR 75
  Kendrick Perkins | C | 26岁 | OVR 72
  Avery Bradley | 2 | 20岁 | OVR 70
  Michael Finley | SF | 37岁 | OVR 67
  Oliver Lafayette | SG | 26岁 | OVR 66
  Glen Davis | PF | 25岁 | OVR 65
  Marquis Daniels | SF | 30岁 | OVR 65
  Shelden Williams | PF | 27岁 | OVR 61

[CHA] 共 14 人
  Stephen Jackson | SG | 32岁 | OVR 81
  Gerald Wallace | SF | 28岁 | OVR 78
  Raymond Felton | PG | 26岁 | OVR 74
  Larry Hughes | SG | 32岁 | OVR 73
  Boris Diaw | PF/C/SF | 28岁 | OVR 73
  D.J. Augustin | PG | 23岁 | OVR 70
  Tyrus Thomas | C | 24岁 | OVR 69
  Derrick Brown | SF | 23岁 | OVR 68
  Gerald Henderson | SG | 23岁 | OVR 67
  Theo Ratliff | C | 37岁 | OVR 66
  Nazr Mohammed | C | 33岁 | OVR 62
  Stephen Graham | SG | 28岁 | OVR 61
  DeSagana Diop | C | 29岁 | OVR 59
  Alexis Ajinca | C | 22岁 | OVR 53

[CHI] 共 15 人
  Carlos Boozer | PF | 29岁 | OVR 84
  Derrick Rose | PG/SG | 22岁 | OVR 80
  Luol Deng | SF | 25岁 | OVR 73
  Kyle Korver | SG | 29岁 | OVR 72
  Ronnie Brewer | SG | 25岁 | OVR 70
  C.J. Watson | PG | 26岁 | OVR 68
  Joakim Noah | C/PF | 25岁 | OVR 67
  Ronald Murray | SG | 31岁 | OVR 67
  Brad Miller | C | 34岁 | OVR 66
  Hakim Warrick | PF | 28岁 | OVR 65
  Acie Law | PG | 26岁 | OVR 65
  Jannero Pargo | PG | 31岁 | OVR 64
  James Johnson | PF | 23岁 | OVR 62
  Omer Asik | C | 24岁 | OVR 62
  Chris Richard | PF | 26岁 | OVR 59

[CLE] 共 13 人
  Mo Williams | PG | 28岁 | OVR 77
  Antawn Jamison | PF | 34岁 | OVR 76
  Delonte West | SG | 27岁 | OVR 75
  Ramon Sessions | PG | 24岁 | OVR 70
  Anthony Parker | SG | 35岁 | OVR 68
  Anderson Varejão | PF | 28岁 | OVR 68
  Sebastian Telfair | PG | 25岁 | OVR 67
  J.J. Hickson | PF | 22岁 | OVR 67
  Jamario Moon | SF | 30岁 | OVR 66
  Leon Powe | SF | 27岁 | OVR 66
  Daniel Gibson | PG | 24岁 | OVR 66
  Danny Green | SG | 23岁 | OVR 64
  Jawad Williams | PG | 27岁 | OVR 60

[DAL] 共 15 人
  Caron Butler | SG | 30岁 | OVR 84
  Dirk Nowitzki | PF/C | 32岁 | OVR 83
  Jason Kidd | PG | 37岁 | OVR 81
  Jason Terry | SG | 33岁 | OVR 78
  Shawn Marion | SF/PF | 32岁 | OVR 76
  Rodrigue Beaubois | PG | 22岁 | OVR 71
  Tyson Chandler | C | 28岁 | OVR 70
  J.J. Barea | PG | 26岁 | OVR 69
  DeShawn Stevenson | SG | 29岁 | OVR 68
  Eduardo Nájera | PF | 34岁 | OVR 63
  Tim Thomas | SF | 33岁 | OVR 60
  Brendan Haywood | C | 31岁 | OVR 60
  Gerald Green | SG | 25岁 | OVR 60
  Ian Mahinmi | C | 24岁 | OVR 60
